Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
AZ_B5	(1, 32.84387966623246)	(2, 33.07274825638293)	(3, 33.20084808369901)	(4, 36.48407990087991)	(5, 36.433312391331356)	(6, 36.47825333461627)	(7, 36.41133811306902)	(8, 36.41740617268877)	(9, 38.18967416455023)	(10, 38.17249498483524)	(11, 38.20207684286248)	(12, 38.13874224546237)	(13, 38.150836318983615)	(14, 39.61170267100815)	(15, 39.60331185497893)	(16, 39.52129790819856)	(17, 39.44954850714791)	(18, 39.34352376000843)	(19, 39.368233705195365)	(20, 39.58670891722303)	(21, 39.59773352016725)	(22, 39.61601154855728)	(23, 39.54630702484228)	(24, 39.513631033189974)	(25, 39.48910328611545)	(26, 39.34814744139676)	(27, 39.27033321501237)	(28, 39.23322625151371)	(29, 39.12918034837034)	(30, 39.04415420321073)	(31, 38.91814830656827)	(32, 38.83254942325942)	(33, 38.76510270070968)	(34, 38.693235248219324)	(35, 38.568740841243184)	(36, 38.55621121720468)	(37, 38.51813019456656)	(38, 38.42361869708405)	(39, 38.373655446658944)	(40, 38.31754813089263)	(41, 38.22041632268687)	(42, 38.13425682980136)	(43, 37.842956816621644)
AZ_B8	(1, 32.38248948989209)	(2, 32.667571239622454)	(3, 32.8231244384771)	(4, 36.29445270401415)	(5, 36.18501191579107)	(6, 36.24955608425695)	(7, 36.18035525265279)	(8, 36.17655820728874)	(9, 37.86295899807306)	(10, 37.76230728133873)	(11, 37.84583547604136)	(12, 37.736999781894)	(13, 37.78074704306293)	(14, 39.09178420712466)	(15, 39.07062952594961)	(16, 38.98117365039409)	(17, 38.899973787260606)	(18, 38.778022518944205)	(19, 38.79810828062438)	(20, 39.004375326408635)	(21, 38.9925231662588)	(22, 39.00919246753922)	(23, 38.933329197990226)	(24, 38.878755074966435)	(25, 38.85221457628408)	(26, 38.6830187471111)	(27, 38.55570487256807)	(28, 38.49921181694303)	(29, 38.369124194358456)	(30, 38.263827420126184)	(31, 38.12035729364471)	(32, 38.02621113861336)	(33, 37.920182408650604)	(34, 37.84266433486675)	(35, 37.69334256448634)	(36, 37.67643554767617)	(37, 37.619229345461896)	(38, 37.498519880662)	(39, 37.448599619415035)	(40, 37.36193309948635)	(41, 37.23391488263296)	(42, 37.1150082940309)	(43, 36.801567161640556)
AZ_B9	(1, 32.858455618131686)	(2, 33.08416308414675)	(3, 33.21180859543441)	(4, 36.49001141179596)	(5, 36.43992909006172)	(6, 36.485426004085596)	(7, 36.41835339108922)	(8, 36.42125425220069)	(9, 38.19638415938185)	(10, 38.1794581139176)	(11, 38.21322418081163)	(12, 38.15471041478829)	(13, 38.16772291114044)	(14, 39.62474682799984)	(15, 39.626976919424884)	(16, 39.54163127703224)	(17, 39.46982843105228)	(18, 39.36287006668496)	(19, 39.39758457578173)	(20, 39.61879265812089)	(21, 39.633385165536374)	(22, 39.65128796491091)	(23, 39.58559609211323)	(24, 39.5585845452922)	(25, 39.52587363396011)	(26, 39.394960298274725)	(27, 39.31293257022392)	(28, 39.28574679751031)	(29, 39.19081001973108)	(30, 39.10413372708385)	(31, 38.9841748443945)	(32, 38.90150139162932)	(33, 38.83830094909555)	(34, 38.77736653207717)	(35, 38.64717841166965)	(36, 38.646491308305784)	(37, 38.61047990522111)	(38, 38.520238515246945)	(39, 38.48204928850501)	(40, 38.43348708768354)	(41, 38.341344457656575)	(42, 38.26139219555114)	(43, 37.97236015105385)
AZ_C1	(1, 32.85648975248123)	(2, 33.07784252006961)	(3, 33.20229145727352)	(4, 36.49013870716491)	(5, 36.4389052904599)	(6, 36.485169823737024)	(7, 36.4167384280026)	(8, 36.42165750692122)	(9, 38.20069610637986)	(10, 38.17979331449973)	(11, 38.21559504499757)	(12, 38.15510955706761)	(13, 38.166121494726504)	(14, 39.627453916369554)	(15, 39.61403336837857)	(16, 39.532783255916776)	(17, 39.46933166847034)	(18, 39.36547030880081)	(19, 39.39564637898725)	(20, 39.60862716922737)	(21, 39.61258678837389)	(22, 39.62699185905131)	(23, 39.55878795746245)	(24, 39.52704416985201)	(25, 39.49744165482069)	(26, 39.36056086946463)	(27, 39.279055629387614)	(28, 39.24026305777837)	(29, 39.13441690808465)	(30, 39.04322453029528)	(31, 38.91345936337627)	(32, 38.82425081165284)	(33, 38.74933519013113)	(34, 38.67880493598032)	(35, 38.548516339734874)	(36, 38.5329133902797)	(37, 38.48625716863614)	(38, 38.38450816279841)	(39, 38.32763783960249)	(40, 38.26592330491156)	(41, 38.16066645502428)	(42, 38.06963088110925)	(43, 37.76755143038551)
AZ_C10	(1, 32.640324486488616)	(2, 32.9000040958807)	(3, 33.030070719630785)	(4, 36.385279404752616)	(5, 36.326037513630396)	(6, 36.37954208053738)	(7, 36.30722273785668)	(8, 36.31168570220783)	(9, 38.05119696317494)	(10, 38.00283388576202)	(11, 38.050171447383775)	(12, 37.96638363873405)	(13, 37.98232975240015)	(14, 39.381460189198776)	(15, 39.36575982837487)	(16, 39.2745932519979)	(17, 39.201394454177525)	(18, 39.06338336747855)	(19, 39.093496591531725)	(20, 39.30975059177748)	(21, 39.324004256624704)	(22, 39.33511259421492)	(23, 39.25987976658117)	(24, 39.215717671715936)	(25, 39.187402771133776)	(26, 39.01132008689449)	(27, 38.916999682376044)	(28, 38.862343632026075)	(29, 38.741740811123485)	(30, 38.634417144583814)	(31, 38.49701348472121)	(32, 38.40902160229307)	(33, 38.31147704413427)	(34, 38.227025393687555)	(35, 38.069282208498876)	(36, 38.03895878075678)	(37, 37.97990313628541)	(38, 37.865301939824555)	(39, 37.81161499030513)	(40, 37.71536256658704)	(41, 37.598910495732945)	(42, 37.49356830808442)	(43, 37.170632071673275)
AZ_C11	(1, 32.80123667652992)	(2, 33.01750273509087)	(3, 33.14635713593286)	(4, 36.43931375762248)	(5, 36.408672892364365)	(6, 36.44884849212248)	(7, 36.37224286683685)	(8, 36.385325602758634)	(9, 38.16255256683085)	(10, 38.14768798268007)	(11, 38.180911604632804)	(12, 38.08515295736028)	(13, 38.11400597334614)	(14, 39.564558761753965)	(15, 39.543234746963705)	(16, 39.47414473593101)	(17, 39.38763369631951)	(18, 39.2764149767575)	(19, 39.33303020371234)	(20, 39.557854673197035)	(21, 39.56143360307254)	(22, 39.5858666198893)	(23, 39.52776405744383)	(24, 39.48419048234539)	(25, 39.46171980667408)	(26, 39.31575827797756)	(27, 39.22232480415826)	(28, 39.193689672204556)	(29, 39.08647457173324)	(30, 39.00148041120995)	(31, 38.83886090966583)	(32, 38.73255981424463)	(33, 38.671850029312786)	(34, 38.560536677914776)	(35, 38.460809956192385)	(36, 38.421663766162425)	(37, 38.34903221636992)	(38, 38.277992789515714)	(39, 38.17177940164982)	(40, 38.11484888911457)	(41, 37.99639244976434)	(42, 37.898023810293175)	(43, 37.608900470389464)
AZ_C2	(1, 32.553613815910346)	(2, 32.82277322554964)	(3, 32.96864866188989)	(4, 36.364493600342946)	(5, 36.27888247902505)	(6, 36.34063518892768)	(7, 36.27369808316492)	(8, 36.27694776165105)	(9, 37.993500643027744)	(10, 37.9288343438055)	(11, 37.99075264866189)	(12, 37.90200306203687)	(13, 37.93004299099761)	(14, 39.30731679833425)	(15, 39.291358442035644)	(16, 39.205935942188745)	(17, 39.12734692877702)	(18, 39.00290281094984)	(19, 39.03356923265356)	(20, 39.246579704819645)	(21, 39.24535293036928)	(22, 39.26852005634148)	(23, 39.200214587543634)	(24, 39.15409590299467)	(25, 39.13003466225733)	(26, 38.96790054504256)	(27, 38.86817514850879)	(28, 38.82144748606773)	(29, 38.70588817441362)	(30, 38.60994745544736)	(31, 38.47925090330087)	(32, 38.392623185743155)	(33, 38.31097850450119)	(34, 38.23921709841387)	(35, 38.09787984567334)	(36, 38.08543964725335)	(37, 38.04131986037112)	(38, 37.93384628574928)	(39, 37.88563120827975)	(40, 37.81738698021924)	(41, 37.7108638618409)	(42, 37.612696429665014)	(43, 37.299623002020944)
AZ_C3	(1, 32.8435132848818)	(2, 33.06475512847535)	(3, 33.1950174701702)	(4, 36.474742118673284)	(5, 36.43050341961557)	(6, 36.47751598417083)	(7, 36.40728738516883)	(8, 36.41386180664028)	(9, 38.19320109071248)	(10, 38.171887388265645)	(11, 38.206024767604234)	(12, 38.136349172090576)	(13, 38.155114950465105)	(14, 39.60799478723112)	(15, 39.59652612688681)	(16, 39.52257028437335)	(17, 39.452924709049064)	(18, 39.35558566703439)	(19, 39.378805493505055)	(20, 39.6019787412819)	(21, 39.61514464833244)	(22, 39.625014970594435)	(23, 39.55892283768526)	(24, 39.53192457538022)	(25, 39.50631229781798)	(26, 39.37496606928597)	(27, 39.29252367723936)	(28, 39.25442394890627)	(29, 39.14972522046669)	(30, 39.06956720682994)	(31, 38.94613335220919)	(32, 38.860988195113535)	(33, 38.78709112897084)	(34, 38.706343455614515)	(35, 38.5875153300467)	(36, 38.55935923643806)	(37, 38.51604895123678)	(38, 38.419398161563606)	(39, 38.377864123566894)	(40, 38.31701951975913)	(41, 38.2114312457083)	(42, 38.11667962801509)	(43, 37.8240342900083)
AZ_C4	(1, 32.793725976787854)	(2, 33.03281920828256)	(3, 33.14880056185662)	(4, 36.456375148512905)	(5, 36.40497936535857)	(6, 36.44679793164628)	(7, 36.37729357579698)	(8, 36.38022351072754)	(9, 38.15556532059419)	(10, 38.12949626582524)	(11, 38.16336578021424)	(12, 38.09840047397127)	(13, 38.097587661506786)	(14, 39.53857461904178)	(15, 39.52448311794861)	(16, 39.4428145155606)	(17, 39.36172377203405)	(18, 39.20257699651824)	(19, 39.2398711184236)	(20, 39.46721349471894)	(21, 39.484548625553174)	(22, 39.49389850893363)	(23, 39.41747445197072)	(24, 39.37119938734261)	(25, 39.34034362916955)	(26, 39.168717642285046)	(27, 39.08698807896219)	(28, 39.017611995079946)	(29, 38.90275333872245)	(30, 38.803320338917395)	(31, 38.67896257189104)	(32, 38.58418990855225)	(33, 38.497498379137646)	(34, 38.4125867820183)	(35, 38.25158831810686)	(36, 38.229271535879)	(37, 38.168200109348675)	(38, 38.059655989824606)	(39, 38.00903301352126)	(40, 37.92046757037019)	(41, 37.80184838634501)	(42, 37.710417779256645)	(43, 37.40167921975083)
AZ_C5	(1, 32.80878123336611)	(2, 33.04271554057163)	(3, 33.16996404929634)	(4, 36.469942765402486)	(5, 36.41338596078452)	(6, 36.461732942866774)	(7, 36.393139329456346)	(8, 36.39802602171107)	(9, 38.16315507355287)	(10, 38.136967654840326)	(11, 38.17340575592797)	(12, 38.108169686124285)	(13, 38.1243989357305)	(14, 39.572940727161054)	(15, 39.563324446964764)	(16, 39.48073283925274)	(17, 39.40805451370043)	(18, 39.29996599813794)	(19, 39.33104235345254)	(20, 39.54397630268465)	(21, 39.55032967591998)	(22, 39.566158309527665)	(23, 39.50045541547919)	(24, 39.46264377382515)	(25, 39.43517146626578)	(26, 39.29301488039686)	(27, 39.20781272268134)	(28, 39.171001311821016)	(29, 39.06601111774856)	(30, 38.97996097079992)	(31, 38.85014530278677)	(32, 38.76077426990446)	(33, 38.69084302548494)	(34, 38.62194380677965)	(35, 38.487594557158474)	(36, 38.48258854043734)	(37, 38.43735521621855)	(38, 38.34272418130885)	(39, 38.28854488862987)	(40, 38.23119171476739)	(41, 38.125389815077)	(42, 38.038516740773765)	(43, 37.74560771875934)
AZ_C8	(1, 32.82967419714744)	(2, 33.05692682311125)	(3, 33.183019151270805)	(4, 36.47890338314242)	(5, 36.422170956439544)	(6, 36.46773019621139)	(7, 36.40058512397608)	(8, 36.40481071225554)	(9, 38.17702556911622)	(10, 38.152469433237734)	(11, 38.18971753556948)	(12, 38.127037592211614)	(13, 38.13796386806472)	(14, 39.5874558116695)	(15, 39.5746376257473)	(16, 39.48869736901506)	(17, 39.421709840788424)	(18, 39.31572049665979)	(19, 39.34428294903958)	(20, 39.56422728348985)	(21, 39.57076259591989)	(22, 39.59028054810574)	(23, 39.524013944948045)	(24, 39.48972739358639)	(25, 39.46274084194835)	(26, 39.318658093570086)	(27, 39.23789375637431)	(28, 39.195482632845994)	(29, 39.08851946405555)	(30, 39.00500870177288)	(31, 38.874498231545466)	(32, 38.78538267992493)	(33, 38.71353754476415)	(34, 38.63922836602909)	(35, 38.499887139525946)	(36, 38.49159765287067)	(37, 38.44939106016062)	(38, 38.34773141234058)	(39, 38.29617859041414)	(40, 38.24215711836346)	(41, 38.13711902680183)	(42, 38.05061308573434)	(43, 37.75069213413168)
AZ_C9	(1, 32.859752319807924)	(2, 33.0918340304019)	(3, 33.22370723471173)	(4, 36.499949979553044)	(5, 36.44925645044378)	(6, 36.49032850270374)	(7, 36.42256483790742)	(8, 36.422148878401174)	(9, 38.20899244779006)	(10, 38.17348319576248)	(11, 38.21149171503439)	(12, 38.14083915003852)	(13, 38.1581198981338)	(14, 39.61844578573346)	(15, 39.60398636635677)	(16, 39.52798424619186)	(17, 39.44513546765608)	(18, 39.335435362174366)	(19, 39.35356207010936)	(20, 39.5813911651605)	(21, 39.60116767029329)	(22, 39.61534364047058)	(23, 39.55004063064376)	(24, 39.52102613875496)	(25, 39.49776487581766)	(26, 39.35639041924155)	(27, 39.278106664654146)	(28, 39.23646771399537)	(29, 39.13272355190806)	(30, 39.05720935048888)	(31, 38.934770704516055)	(32, 38.85510217334454)	(33, 38.78147734073753)	(34, 38.71508177904301)	(35, 38.59193933660602)	(36, 38.593391684671104)	(37, 38.54887611953658)	(38, 38.460540887766406)	(39, 38.41827536519314)	(40, 38.36218752577808)	(41, 38.26345944921345)	(42, 38.176417728650485)	(43, 37.88396835899587)
AZ_D12	(1, 32.85977547262077)	(2, 33.074622579671846)	(3, 33.19846950984778)	(4, 36.47855857168125)	(5, 36.435816174711015)	(6, 36.4908222612966)	(7, 36.41808080072415)	(8, 36.42529834673769)	(9, 38.19571650036936)	(10, 38.18890472672791)	(11, 38.21577310041305)	(12, 38.16078053957321)	(13, 38.17637364352377)	(14, 39.61393984164473)	(15, 39.614975081414585)	(16, 39.51491161445382)	(17, 39.483679627105595)	(18, 39.38702672895446)	(19, 39.386466971169355)	(20, 39.62053104158647)	(21, 39.61770624161144)	(22, 39.62783182295839)	(23, 39.56330465181609)	(24, 39.532294278609555)	(25, 39.50792088479186)	(26, 39.34875823249717)	(27, 39.2619884927117)	(28, 39.19910417945543)	(29, 39.105377004151364)	(30, 39.008140418049585)	(31, 38.85171204727769)	(32, 38.78847190286434)	(33, 38.692717946583706)	(34, 38.6226514623412)	(35, 38.48243525849781)	(36, 38.451424885291274)	(37, 38.394473172203554)	(38, 38.29949434519784)	(39, 38.23518774775525)	(40, 38.15690489319863)	(41, 38.049868384089564)	(42, 37.95378772902729)	(43, 37.65605901386909)
